,Car Model,Year,Kilometers Driven,Fuel Type,Transmission Type,Price
0,Maruti Swift,2015,34588.0,Petrol,Manual,410499.0
1,Hyundai Grand i10,2014,43841.0,Petrol,Manual,354499.0
2,Maruti Ritz,2013,14047.0,Petrol,Manual,383999.0
3,Honda Accord,2012,50161.0,Petrol,Manual,520199.0
4,Maruti Swift,2019,15445.0,Petrol,Automatic,673399.0
5,Maruti Baleno,2016,11510.0,Petrol,Manual,506399.0
6,Volkswagen Polo,2016,62799.0,Petrol,Manual,474799.0
7,Tata TIGOR,2021,2506.0,Petrol,Manual,696999.0
8,Toyota Corolla Altis,2016,38845.0,Petrol,Manual,786899.0
9,Maruti Swift,2014,39653.0,Petrol,Manual,445799.0
10,Ford Figo Aspire,2018,17865.0,Petrol,Manual,588899.0
11,Maruti Swift,2020,7112.0,Petrol,Manual,688399.0
12,Toyota Innova,2014,93585.0,Diesel,Manual,1020699.0
13,KIA SELTOS,2019,5931.0,Petrol,Manual,1564699.0
14,Maruti Swift,2017,34691.0,Petrol,Manual,511699.0
15,Hyundai Elite i20,2016,33273.0,Petrol,Manual,523699.0
16,Maruti New Wagon-R,2019,4920.0,Petrol,Automatic,623699.0
17,Maruti Swift,2017,28030.0,Petrol,Manual,515499.0
18,Renault Kwid,2018,5927.0,Petrol,Manual,378299.0
19,Maruti Alto K10,2016,28156.0,Petrol,Manual,301499.0
20,KIA SELTOS,2019,12465.0,Petrol,Manual,1584099.0
21,Maruti Ritz,2015,25616.0,Petrol,Manual,443899.0
22,Maruti Wagon R 1.0,2014,23786.0,Petrol,Manual,336699.0
23,Volkswagen Vento,2021,8689.0,Petrol,Manual,1111999.0
24,Hyundai Verna,2015,32248.0,Petrol,Manual,630499.0
25,Maruti Baleno,2016,40385.0,Petrol,Manual,504199.0
26,Maruti New Wagon-R,2021,3201.0,Petrol,Automatic,739399.0
27,Mercedes Benz E Class,2011,77906.0,Diesel,Automatic,1064499.0
28,Toyota Corolla Altis,2016,77975.0,Petrol,Manual,765099.0
29,Honda Amaze,2017,4296.0,Petrol,Manual,581599.0
30,Maruti Alto 800,2016,23751.0,Petrol,Manual,291999.0
31,Hyundai Grand i10,2018,22796.0,Petrol,Manual,478299.0
32,Maruti Swift,2017,30435.0,Petrol,Manual,531099.0
33,Mercedes Benz C Class,2014,61553.0,Diesel,Automatic,1530099.0
34,Renault Kwid,2018,9943.0,Petrol,Manual,390399.0
35,Hyundai Grand i10,2018,16908.0,Petrol,Manual,514999.0
36,Honda CRV,2014,55135.0,Petrol,Automatic,992399.0
37,Maruti Wagon R 1.0,2017,25046.0,Petrol,Manual,407999.0
38,Hyundai i20,2013,38736.0,Petrol,Manual,404699.0
39,Hyundai Grand i10,2015,22138.0,Petrol,Manual,407099.0
40,Maruti Dzire,2018,19705.0,Petrol,Manual,586699.0
41,Maruti New Wagon-R,2020,9219.0,Petrol,Manual,652899.0
42,Maruti Swift,2019,13419.0,Petrol,Automatic,744399.0
43,Ford Figo,2012,43632.0,Diesel,Manual,284899.0
44,Datsun Redi Go,2021,294.0,Petrol,Manual,424549.0
45,Honda City,2020,14655.0,Petrol,Manual,970299.0
46,Hyundai i20,2012,68046.0,Petrol,Manual,364799.0
47,MG HECTOR,2019,3829.0,Petrol,Automatic,1636199.0
48,Maruti Wagon R 1.0,2017,11441.0,Petrol,Manual,393999.0
49,Renault Duster,2014,50930.0,Diesel,Manual,657099.0
50,Tata Harrier,2021,17445.0,Diesel,Manual,1857599.0
51,Volkswagen Vento,2017,64522.0,Diesel,Automatic,768699.0
52,Toyota URBAN CRUISER,2020,15735.0,Petrol,,1105399.0
53,Honda Jazz,2015,23598.0,Petrol,Manual,474199.0
54,Tata Tiago,2018,12199.0,Petrol,Manual,477899.0
55,Hyundai Grand i10,2014,26986.0,Petrol,Manual,409099.0
56,Renault Duster,2021,28564.0,Petrol,Manual,968199.0
57,Hyundai Grand i10,2014,26741.0,Petrol,Manual,396699.0
